customer_id,gender,age,city,region,registration_date,acquisition_channel
CUST000001,Male,32,Eskisehir,Central Anatolia,2024-03-25,Marketplace Ads
CUST000002,Female,25,Elazig,Eastern Anatolia,2024-01-22,Marketplace Ads
CUST000003,Female,21,Istanbul,Marmara,2024-04-23,Referral
CUST000004,Female,47,Bursa,Marmara,2024-10-26,Organic Search
CUST000005,Male,37,Mardin,Southeastern Anatolia,2024-07-05,Email
CUST000006,Female,23,Aksaray,Central Anatolia,2024-08-12,Marketplace Ads
CUST000007,Male,25,Istanbul,Marmara,2024-04-11,Social
CUST000008,Male,41,Sanliurfa,Southeastern Anatolia,2025-09-19,Organic Search
CUST000009,Female,32,Kayseri,Central Anatolia,2024-05-13,Email
CUST000010,Female,19,Istanbul,Marmara,2024-03-01,Organic Search
CUST000011,Male,31,Adana,Mediterranean,2024-09-26,Social
CUST000012,Male,41,Antalya,Mediterranean,2024-01-07,Email
CUST000013,Female,28,Siirt,Southeastern Anatolia,2025-05-05,Referral
CUST000014,Female,31,Konya,Central Anatolia,2024-02-20,Organic Search
CUST000015,Male,22,Sakarya,Marmara,2024-01-28,Organic Search
CUST000016,Female,25,Corum,Black Sea,2024-03-15,Paid Search
CUST000017,Male,47,Istanbul,Marmara,2024-03-27,Email
CUST000018,Female,57,Ankara,Central Anatolia,2024-05-21,Marketplace Ads
CUST000019,Male,28,Rize,Black Sea,2025-03-18,Social
CUST000020,Male,45,Antalya,Mediterranean,2024-03-30,Marketplace Ads
CUST000021,Female,29,Antalya,Mediterranean,2023-12-07,Social
CUST000022,Male,41,Istanbul,Marmara,2025-09-26,Marketplace Ads
CUST000023,Male,44,Istanbul,Marmara,2024-01-07,Organic Search
CUST000024,Male,37,Nevsehir,Central Anatolia,2024-11-19,Organic Search
CUST000025,Male,35,Aydin,Aegean,2024-04-28,Organic Search
CUST000026,Female,38,Kahramanmaras,Mediterranean,2024-05-16,Email
CUST000027,Female,44,Istanbul,Marmara,2024-01-19,Paid Search
CUST000028,Female,32,Duzce,Black Sea,2023-12-19,Paid Search
CUST000029,Female,37,Bursa,Marmara,2024-09-09,Marketplace Ads
CUST000030,Male,41,Ankara,Central Anatolia,2024-01-23,Email
CUST000031,Male,28,Kocaeli,Marmara,2024-07-31,Marketplace Ads
CUST000032,Male,34,Nigde,Central Anatolia,2023-12-21,Referral
CUST000033,Male,28,Manisa,Aegean,2024-01-04,Email
CUST000034,Female,31,Tekirdag,Marmara,2024-02-21,Social
CUST000035,Male,35,Kilis,Southeastern Anatolia,2024-01-13,Organic Search
CUST000036,Male,20,Adana,Mediterranean,2023-12-20,Paid Search
CUST000037,Male,30,Bursa,Marmara,2024-02-07,Paid Search
CUST000038,Female,36,Kahramanmaras,Mediterranean,2024-01-03,Paid Search
CUST000039,Male,27,Afyonkarahisar,Aegean,2024-10-20,Marketplace Ads
CUST000040,Male,34,Istanbul,Marmara,2024-01-07,Organic Search
CUST000041,Female,46,Mersin,Mediterranean,2024-02-05,Referral
CUST000042,Male,27,Sakarya,Marmara,2024-11-19,Organic Search
CUST000043,Female,26,Ankara,Central Anatolia,2024-10-27,Organic Search
CUST000044,Male,26,Kastamonu,Black Sea,2025-07-06,Organic Search
CUST000045,Male,25,Mersin,Mediterranean,2024-03-09,Organic Search
CUST000046,Male,34,Istanbul,Marmara,2024-04-14,Organic Search
CUST000047,Female,29,Yozgat,Central Anatolia,2024-01-07,Organic Search
CUST000048,Male,19,Ankara,Central Anatolia,2024-01-22,Email
CUST000049,Female,30,Usak,Aegean,2024-01-21,Organic Search
CUST000050,Male,23,Ankara,Central Anatolia,2023-12-22,Organic Search
CUST000051,Male,43,Istanbul,Marmara,2025-02-24,Paid Search
CUST000052,Male,21,Istanbul,Marmara,2024-07-24,Referral
CUST000053,Male,28,Duzce,Black Sea,2024-05-18,Referral
CUST000054,Male,29,Konya,Central Anatolia,2024-03-05,Referral
CUST000055,Male,42,Istanbul,Marmara,2025-01-10,Organic Search
CUST000056,Female,31,Izmir,Aegean,2023-12-31,Email
CUST000057,Female,26,Ankara,Central Anatolia,2023-12-25,Email
CUST000058,Male,38,Nigde,Central Anatolia,2024-03-20,Social
CUST000059,Male,32,Adana,Mediterranean,2024-01-25,Organic Search
CUST000060,Male,29,Konya,Central Anatolia,2024-01-13,Paid Search
CUST000061,Male,27,Istanbul,Marmara,2024-01-05,Organic Search
CUST000062,Male,20,Istanbul,Marmara,2025-09-02,Organic Search
CUST000063,Male,23,Gaziantep,Southeastern Anatolia,2024-02-04,Marketplace Ads
CUST000064,Male,30,Aydin,Aegean,2023-12-23,Referral
CUST000065,Female,31,Ordu,Black Sea,2024-01-09,Email
CUST000066,Male,35,Eskisehir,Central Anatolia,2023-12-31,Organic Search
CUST000067,Female,26,Sirnak,Southeastern Anatolia,2025-07-16,Email
CUST000068,Male,25,Erzurum,Eastern Anatolia,2024-05-08,Paid Search
CUST000069,Male,29,Kahramanmaras,Mediterranean,2024-04-26,Organic Search
CUST000070,Female,36,Istanbul,Marmara,2025-12-02,Referral
CUST000071,Female,35,Kahramanmaras,Mediterranean,2024-09-07,Organic Search
CUST000072,Male,20,Bursa,Marmara,2025-12-22,Paid Search
CUST000073,Female,29,Antalya,Mediterranean,2023-12-15,Social
CUST000074,Female,36,Mugla,Aegean,2024-01-21,Organic Search
CUST000075,Female,28,Kutahya,Aegean,2025-03-24,Organic Search
CUST000076,Male,39,Aksaray,Central Anatolia,2024-07-23,Referral
CUST000077,Male,38,Bursa,Marmara,2024-03-22,Paid Search
CUST000078,Male,40,Kayseri,Central Anatolia,2023-12-23,Paid Search
CUST000079,Male,35,Izmir,Aegean,2023-12-12,Marketplace Ads
CUST000080,Female,43,Kocaeli,Marmara,2024-03-15,Organic Search
CUST000081,Male,48,Diyarbakir,Southeastern Anatolia,2025-10-04,Organic Search
CUST000082,Female,19,Ankara,Central Anatolia,2024-04-02,Paid Search
CUST000083,Male,22,Istanbul,Marmara,2024-01-26,Email
CUST000084,Male,29,Konya,Central Anatolia,2024-05-24,Paid Search
CUST000085,Female,38,Rize,Black Sea,2024-04-14,Marketplace Ads
CUST000086,Female,33,Istanbul,Marmara,2023-12-30,Organic Search
CUST000087,Male,27,Ankara,Central Anatolia,2024-03-21,Paid Search
CUST000088,Female,33,Canakkale,Marmara,2024-02-05,Organic Search
CUST000089,Female,35,Hatay,Mediterranean,2024-02-23,Organic Search
CUST000090,Female,29,Istanbul,Marmara,2024-01-04,Referral
CUST000091,Male,21,Istanbul,Marmara,2025-02-18,Organic Search
CUST000092,Male,39,Istanbul,Marmara,2024-04-22,Paid Search
CUST000093,Male,30,Izmir,Aegean,2025-01-12,Social
CUST000094,Female,29,Istanbul,Marmara,2024-01-20,Email
CUST000095,Female,36,Tokat,Black Sea,2024-09-15,Paid Search
